index	x	y
50088	7.09865502658	33.4942809001
58146	-19.2926087861	27.606552116
44884	-28.6283205882	0.530913876142
68889	23.6318088989	-24.9800916078
70175	-9.78290613604	-3.63590512551
11542	4.03519084211	11.8542938294
11543	-0.475274915333	-10.3314082432
11540	1.28726323998	-1.81833180226
11541	20.8454811028	-11.6635480098
11546	25.3718046447	-4.61240583883
11547	12.352606884	-18.0221238667
11544	1.44766538975	-1.30768181087
11545	12.6542244273	-28.4047305429
67176	30.2446243664	16.2350746942
11548	24.8353705502	-18.9027263893
11549	28.6499989766	7.77797256473
58141	22.62110642	0.0362749086808
5988	-15.0511591256	-31.2052057106
5989	-4.14272259033	-14.4788003593
19399	-1.48083643466	-36.5673281706
19398	-29.6703294713	1.42250968213
5982	14.6524735149	19.4400973471
5983	14.5159514784	-14.3779410376
5980	-0.114265957999	26.8143714489
5981	-2.00096541732	-11.2709985886
5986	-10.9612211187	-34.2048612575
5987	-18.0114840765	-7.46502345021
5984	16.6795638588	20.1641244621
5985	13.1616899859	-27.6426508367
65776	-16.1848080422	14.9088331619
58140	37.9689172968	4.51634662213
57481	6.62354691428	10.565907078
53901	-3.69517874388	-35.4382769635
57483	7.31988616568	4.58471167558
57482	3.61769311284	-22.904392122
57485	20.551353371	16.5169995948
57484	-18.7945419663	-13.8624279555
53906	5.61051213133	35.1268773358
46139	16.5729315571	-23.0496658474
46138	14.4340383665	-15.560239595
46137	-26.685071634	-12.1158173405
46136	19.6853028181	-13.5044284501
46135	20.7734320642	12.2231296876
46134	-17.5841653921	12.2449254015
46133	19.6015829164	12.0527798736
46132	18.7567286344	7.41642034919
46131	1.39702104827	-3.37187747898
46130	23.5736470713	15.3659137829
53908	-4.17202925181	-27.3882766887
53909	18.0031677125	-28.4462999323
16643	5.90215879254	4.08769009003
29237	5.14652604217	15.0268474888
60834	22.8277341377	2.36899311371
270	-3.68349726603	11.6761496177
271	6.85105775699	-10.2229611096
272	12.1511278609	-11.0500437111
273	1.8705310641	4.4059793297
274	-16.1834526679	-29.1498725662
275	7.32624068926	-10.8360466689
276	11.569483713	-6.70936667257
277	7.01593007663	0.743760525998
278	-1.28247373871	-1.0844830823
279	10.8073081491	-11.3175482006
16707	-5.25619061616	-21.3898297215
16706	25.7774468348	8.14463247126
16701	-10.5387590727	-23.6329025786
16700	11.3474949253	-23.8976985362
16703	9.00032312843	-23.1595956623
16702	2.28970640104	29.0612637203
46704	23.9442148449	9.27537241528
12019	23.629557922	7.46663567073
12018	-2.20036298892	13.1145280175
46705	14.9905065041	11.3289522928
12015	-8.41572278039	-28.6678697141
12014	18.2693467309	-14.4269867723
12017	-27.4169439722	-15.4491463243
12016	2.31158173233	-3.33350343296
12011	17.4453228074	4.13174888486
12010	24.4683023628	-25.1056064456
12013	16.4069884159	1.56263925705
12012	-33.8872065546	-14.734353954
17258	26.075916842	22.4568411036
17259	-9.52597206255	-2.35669641216
64676	-10.5739921014	-23.642461187
46707	18.4346612143	-12.0814116937
64670	-11.0896895968	16.5520676014
64671	14.5028233292	26.8689046536
64672	3.03510719114	2.74612782192
64673	30.3749677492	16.4183187289
17250	-4.4223353906	27.9324182481
17251	-21.9620442133	25.2954940878
17252	-17.3754902896	14.016911829
17253	-2.91405923223	-35.4645658227
17254	-9.96554770305	-27.4677240828
17255	25.227668772	26.3623662867
17256	-2.69084879354	-15.7437162003
17257	-26.9714702707	-18.5253469455
63024	-8.80298590053	20.6428732687
63025	4.5465646563	28.7920148962
10709	3.99644105623	20.9480539771
10708	-12.7246054377	-3.82559689962
63020	5.90216897863	3.98058088401
46702	-17.7614568481	11.587161576
9258	21.4698462858	17.6462850105
9259	-22.1838278491	-19.8340212115
9256	16.7073546608	28.0256544956
9257	-3.014708839	-17.0413264212
9254	-17.6177131448	12.9788048581
9255	-6.77823655591	-12.8471643942
9252	26.7254788492	-2.28665188201
9253	-9.85516643295	25.683452184
9250	0.202581731588	-6.87185879115
9251	-14.3699078693	-31.8179080378
46793	-15.6490403812	16.3580122337
46792	9.61200303874	4.05709055949
46791	-20.3586996192	-15.5809861935
46790	-8.10451986032	-26.2693251202
21619	-1.47848563176	-35.9347448349
21618	-8.33678913538	-28.7104920125
46795	15.5145511742	-26.3899018124
46794	4.3291977128	8.52687196024
21615	-9.72931575192	-4.08696850061
21614	15.3180026411	-25.9621325568
21617	3.91920255711	16.1266563701
21616	20.8724149165	-15.054477706
21611	21.6638380141	2.99111601593
21610	26.1785621518	-7.16803015839
21613	20.4938461073	-15.1255407953
21612	13.669864571	29.2746957278
54541	12.153580008	2.54255101648
69170	-11.4839862334	1.94525583991
19397	-2.6810960058	-33.2009228741
69172	-11.4024303888	18.4633929126
69173	-3.46783482813	19.7540737898
69174	-9.59286753233	-2.8911044863
69175	25.3798378418	8.36242950583
45448	11.9996641887	1.00745429565
19396	9.63248198712	34.9095999934
45446	1.09898478746	-1.36720361533
45447	-6.09182513708	-10.4287239592
45444	-2.29268347738	5.92777465114
45445	14.5808213994	25.5148316286
45442	-16.6809389891	14.1955479171
19395	26.7815194283	9.52717142832
45440	23.2669202251	-11.8918030515
45441	31.238377257	21.2495783151
44799	17.9351597135	-3.4277260728
44798	-0.456059672472	24.5386177796
54540	13.6876825725	28.0333037815
19394	13.7985247684	-35.2171024881
48620	6.34971965319	10.8033040977
44791	-4.89458147164	-4.25771731135
19393	4.20390878374	-22.8206832816
44793	-6.9600206935	10.8790205759
44792	1.35975077488	-11.0819692611
44795	17.9315080927	-3.2934453325
44794	-28.4116976995	10.0542292782
44797	31.4192966147	21.4102918693
19392	15.6893180694	-1.96729916311
46869	11.1607099806	-25.0700375751
46868	-3.47537143062	-4.00421588266
48622	13.975629376	14.0823047784
58079	5.9849742882	34.5714661193
19391	-13.7951866348	8.03184161965
46861	31.2603011099	21.1893478906
46860	-18.5062043704	-21.4975010121
46863	30.7862837108	3.17488721503
19390	-31.9051676777	-15.2702936116
46865	6.1703176711	-2.39323574349
46864	-32.4277641198	-0.861578366072
46867	-10.1851707122	36.0151395784
46866	0.285220632467	20.4135716435
29236	-17.13092151	13.8289774916
31677	31.6375458909	-11.6545801542
48627	-4.01337092353	-3.97694115956
58707	-3.29091691574	-35.9406406252
48626	30.0360212828	0.897850480336
48629	3.01091714742	-23.2505362279
64777	-2.51473917419	-29.4863908598
50353	16.3983682351	0.814848159415
48628	6.61553144408	10.6922797151
54643	-16.0171406825	14.5562126824
54542	-31.6169094425	-7.64438693608
58706	6.20765602801	5.39719907101
64776	-28.9123249304	-3.28745146166
