id	externalId
1	43884887
2	49373208
3	105370
4	43844230
5	41520422
6	205013
7	43674422
8	4429395
9	39942
10	43697026
11	44591843
12	44067307
13	4276475
14	43867095
15	1343342
16	44507471
17	48347765
18	35699958
19	42120613
20	43650667
21	45453032
22	36196361
23	1022352
24	44217612
25	24653
26	44649915
27	963986
28	45051881
29	48566181
30	595801
31	52371
32	36483433
33	39238465
34	29270563
35	39321668
36	46769399
37	1854000
38	47019680
39	29075630
40	43425102
41	6009939
42	39701440
43	3071743
44	2466773
45	45062970
46	31316475
47	43683268
48	44875573
49	43159611
50	174560
51	870946
52	36450985
53	37671451
54	25329994
55	44379763
56	22114132
57	47136233
58	38706229
59	30007
60	43887800
61	47569084
62	30006
63	4273140
64	41668588
65	43360594
66	44853982
67	45084067
68	633052
69	46652225
70	43308964
71	20786
72	3920193
73	358367
74	43842546
75	44662181
76	23270459
77	481605
78	2615708
79	30625
80	16046327
81	46318690
82	40218034
83	39392040
84	36484005
85	41528
86	65834
87	54173
88	31186339
89	19479460
90	43846431
91	43108238
92	70091
93	33785882
94	667361
95	52389
96	39507756
97	18841979
98	37617614
99	43402974
100	43101237
101	39460585
102	48207620
103	39436108
104	2236472
105	43142604
106	2465797
107	4726
108	442647
109	5016250
110	34470911
111	44490039
112	43221463
113	39377504
114	1277918
115	28269
116	12673434
117	48286553
118	87983
119	3746
120	618929
121	39462255
122	44425370
123	35164385
124	39552892
125	1009041
126	44089815
127	267848
128	43829217
129	3616797
130	62668
131	38094431
132	31780557
133	43117078
134	45605536
135	64394
136	1186616
137	142456
138	31775043
139	29782
140	43862265
141	255898
142	23487440
143	41595406
144	1659954
145	323715
146	31638720
147	44749281
148	40281611
149	24319139
150	45230258
151	1033297
152	43330547
153	42993
154	39321638
155	14277334
156	1349086
157	1623960
158	623452
159	36101762
160	23880
161	24480838
162	46327631
163	9979
164	3569822
165	146947
166	5676692
167	23830211
168	30327
169	1891886
170	2804704
171	43670986
172	91133
173	52549
174	74830
175	42041384
176	44389218
177	43222494
178	2580403
179	858575
180	73631
181	11893755
182	37125755
183	36019569
184	12064359
185	2632306
186	77856
187	667372
188	38855447
189	670407
190	1695534
191	44279559
192	14482638
193	44236932
194	946164
195	17917662
196	42009222
197	39383953
198	44609083
199	46883270
200	43716131
201	248222
202	73875
203	4846576
204	106328
205	47090981
206	39693688
207	35867054
208	43141407
209	13950959
210	41841614
211	30951080
212	1141438
213	39364726
214	45772
215	39462431
216	43944253
217	2809621
218	18951054
219	5476946
220	31556
221	27203385
222	57820
223	45641474
224	45379583
225	11701
226	42339834
227	25129766
228	415156
229	32112949
230	4730
231	39975924
232	1025150
233	5985595
234	2750041
235	4729
236	38009185
237	2251266
238	206818
239	21282769
240	14119255
241	41684727
242	48834861
243	38645474
244	725459
245	47394352
246	38041226
247	45322449
248	464189
249	3213691
250	33335392
251	28387289
252	4560
253	3837
254	48116360
255	39416736
256	44122
257	47382681
258	930379
259	21913863
260	6641931
261	46385738
262	31941988
263	667371
264	113549
265	228274
266	105434
267	68485
268	41815356
269	46585079
270	253828
271	39513921
272	41418399
273	142430
274	46943114
275	36127934
276	38888211
277	47438451
278	2654186
279	43904169
280	39031627
281	30265620
282	22144990
283	4728
284	39577064
285	30000
286	44135542
287	213472
288	47143931
289	871053
290	32314211
291	46664583
292	25862453
293	3261733
294	29781
295	33502433
296	38055726
297	43033675
298	38739215
299	230481
300	129493
301	28085067
302	43123901
303	41788608
304	288303
305	1908238
306	31557
307	8031432
308	537024
309	698242
310	1774803
311	215873
312	99304
313	33590333
314	10552268
315	35625166
316	680361
317	47004424
318	336846
319	398934
320	38263183
321	11014779
322	15656621
323	6932859
